ProfileID,Longitude,Latitude,T_Year,Start_Date,End_Date,Satellite,error,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,QA_PIXEL
BJ W3_0205,2.6283,6.4424,1996,1996-01-01,1996-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1996-01-01-1996-12-31,,,,,,,
BJ W3_0184,2.4663,7.3023,1998,1998-01-01,1998-12-31,Landsat-5,,20592.509615384613,21381.109714003942,21614.45537475345,24630.764792899405,23220.09960552268,19951.18836291913,5896.0
BJ W3_0188,2.581,7.172,1999,1999-01-01,1999-12-31,Landsat-7,,9015.66255550074,9721.40182535767,9276.964972866303,18965.460039467194,14743.073260976811,10451.86827824371,5440.0
BJ W3_0186,2.0717,7.4071,1998,1998-01-01,1998-12-31,Landsat-5,,15859.663108242303,17094.174031777562,17190.289970208538,22382.594339622643,21502.23684210526,17906.384558093345,5856.970208540219
BJ W3_0211,2.4412,6.9271,1995,1995-01-01,1995-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1995-01-01-1995-12-31,,,,,,,
BJ W3_0212,2.5831,6.7789,1996,1996-01-01,1996-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1996-01-01-1996-12-31,,,,,,,
BJ W3_0216,2.1392,6.8096,1995,1995-01-01,1995-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1995-01-01-1995-12-31,,,,,,,
BJ W3_0213,1.8037,7.069,1997,1997-01-01,1997-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1997-01-01-1997-12-31,,,,,,,
BJ W3_0193,2.0098,7.2176,1999,1999-01-01,1999-12-31,Landsat-7,,12550.670034499755,13456.01552488911,13995.13134549039,18260.945786101525,18070.855593888624,14788.71882700838,6149.014292755052
BJ W3_0221,2.4937,7.0524,1994,1994-01-01,1994-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1994-01-01-1994-12-31,,,,,,,
BJ W3_0222,2.5114,7.0527,1994,1994-01-01,1994-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1994-01-01-1994-12-31,,,,,,,
