Longitude_Latitude,ProfileID
"(-16.5027245369439, 14.592409590858718)",IRD_490
"(-16.502459297521707, 14.591882897792011)",IRD_491
"(-16.503200387675996, 14.591789746074225)",IRD_492
"(-16.50473910254205, 14.591959218492386)",IRD_493
"(-16.49962510273528, 14.586932619930888)",IRD_494
"(-16.49935105244914, 14.587095189289514)",IRD_495
"(-16.498918415541397, 14.587904555585771)",IRD_496
"(-16.49967524517475, 14.58733828602373)",IRD_497
"(-16.508752786129282, 14.578709428426412)",IRD_498
"(-16.506756629235998, 14.57832931027464)",IRD_499
"(-16.508002257696088, 14.579872433367775)",IRD_500
"(-16.508405187307527, 14.579233970767902)",IRD_501
"(-16.50574332758861, 14.579559588800013)",IRD_502
"(-16.50626372332986, 14.57936045400971)",IRD_503
"(-16.508759885051, 14.580488092239303)",IRD_504
"(-16.508221694156166, 14.580553591280605)",IRD_505
"(-16.50702577443019, 14.58042064628442)",IRD_506
"(-16.50620579049637, 14.579918684803571)",IRD_507
"(-16.506066220485106, 14.58022585556511)",IRD_508
"(-16.505975124971183, 14.580808099286356)",IRD_509
"(-16.508660397767613, 14.580944841617164)",IRD_510
"(-16.508569668295372, 14.58145102185924)",IRD_511
"(-16.509267414713936, 14.581204772711605)",IRD_512
"(-16.507996121282932, 14.581063272122032)",IRD_513
"(-16.506807884467428, 14.580868776610066)",IRD_514
